t_ns,signal,voltage,value
0,SWCLK,3.100,
0,SWDIO,3.100,
0,NRST,3.100,
0,SWCLK,0.000,
0,NRST,0.000,
0,NRST,3.300,
0,SWDIO,0.000,
0,SWDIO,3.300,
0,STEP_0_ATTACH_BEGIN,3.550,0.000
0,NRST,0.000,
20005000,SWCLK,3.300,
20005000,STEP_PHASE_AwaitResetOrSeq,3.550,0.000
20010000,SWCLK,0.000,
20015000,SWCLK,3.300,
20020000,SWCLK,0.000,
20025000,SWCLK,3.300,
20030000,SWCLK,0.000,
20035000,SWCLK,3.300,
20040000,SWCLK,0.000,
20045000,SWCLK,3.300,
20050000,SWCLK,0.000,
20055000,SWCLK,3.300,
20060000,SWCLK,0.000,
20065000,SWCLK,3.300,
20070000,SWCLK,0.000,
20075000,SWCLK,3.300,
20080000,SWCLK,0.000,
20085000,SWCLK,3.300,
20090000,SWCLK,0.000,
20095000,SWCLK,3.300,
20100000,SWCLK,0.000,
20105000,SWCLK,3.300,
20110000,SWCLK,0.000,
20115000,SWCLK,3.300,
20120000,SWCLK,0.000,
20125000,SWCLK,3.300,
20130000,SWCLK,0.000,
20135000,SWCLK,3.300,
20140000,SWCLK,0.000,
20145000,SWCLK,3.300,
20150000,SWCLK,0.000,
20155000,SWCLK,3.300,
20160000,SWCLK,0.000,
20165000,SWCLK,3.300,
20170000,SWCLK,0.000,
20175000,SWCLK,3.300,
20180000,SWCLK,0.000,
20185000,SWCLK,3.300,
20190000,SWCLK,0.000,
20195000,SWCLK,3.300,
20200000,SWCLK,0.000,
20205000,SWCLK,3.300,
20210000,SWCLK,0.000,
20215000,SWCLK,3.300,
20220000,SWCLK,0.000,
20225000,SWCLK,3.300,
20230000,SWCLK,0.000,
20235000,SWCLK,3.300,
20240000,SWCLK,0.000,
20245000,SWCLK,3.300,
20250000,SWCLK,0.000,
20255000,SWCLK,3.300,
20260000,SWCLK,0.000,
20265000,SWCLK,3.300,
20270000,SWCLK,0.000,
20275000,SWCLK,3.300,
20280000,SWCLK,0.000,
20285000,SWCLK,3.300,
20290000,SWCLK,0.000,
20295000,SWCLK,3.300,
20300000,SWCLK,0.000,
20305000,SWCLK,3.300,
20310000,SWCLK,0.000,
20315000,SWCLK,3.300,
20320000,SWCLK,0.000,
20325000,SWCLK,3.300,
20330000,SWCLK,0.000,
20335000,SWCLK,3.300,
20340000,SWCLK,0.000,
20345000,SWCLK,3.300,
20350000,SWCLK,0.000,
20355000,SWCLK,3.300,
20360000,SWCLK,0.000,
20365000,SWCLK,3.300,
20370000,SWCLK,0.000,
20375000,SWCLK,3.300,
20380000,SWCLK,0.000,
20385000,SWCLK,3.300,
20390000,SWCLK,0.000,
20395000,SWCLK,3.300,
20400000,SWCLK,0.000,
20405000,SWCLK,3.300,
20410000,SWCLK,0.000,
20415000,SWCLK,3.300,
20420000,SWCLK,0.000,
20425000,SWCLK,3.300,
20430000,SWCLK,0.000,
20435000,SWCLK,3.300,
20440000,SWCLK,0.000,
20445000,SWCLK,3.300,
20450000,SWCLK,0.000,
20455000,SWCLK,3.300,
20460000,SWCLK,0.000,
20465000,SWCLK,3.300,
20470000,SWCLK,0.000,
20475000,SWCLK,3.300,
20480000,SWCLK,0.000,
20485000,SWCLK,3.300,
20490000,SWCLK,0.000,
20495000,SWCLK,3.300,
20500000,SWCLK,0.000,
20505000,SWCLK,3.300,
20510000,SWCLK,0.000,
20515000,SWCLK,3.300,
20520000,SWCLK,0.000,
20525000,SWCLK,3.300,
20530000,SWCLK,0.000,
20535000,SWCLK,3.300,
20540000,SWCLK,0.000,
20545000,SWCLK,3.300,
20550000,SWCLK,0.000,
20555000,SWCLK,3.300,
20560000,SWCLK,0.000,
20565000,SWCLK,3.300,
20570000,SWCLK,0.000,
20575000,SWCLK,3.300,
20580000,SWCLK,0.000,
20585000,SWCLK,3.300,
20590000,SWCLK,0.000,
20595000,SWCLK,3.300,
20600000,SWCLK,0.000,
20605000,SWCLK,3.300,
20610000,SWCLK,0.000,
20615000,SWCLK,3.300,
20620000,SWCLK,0.000,
20625000,SWCLK,3.300,
20630000,SWCLK,0.000,
20635000,SWCLK,3.300,
20640000,SWCLK,0.000,
20645000,SWCLK,3.300,
20650000,SWCLK,0.000,
20655000,SWCLK,3.300,
20660000,SWCLK,0.000,
20665000,SWCLK,3.300,
20670000,SWCLK,0.000,
20675000,SWCLK,3.300,
20680000,SWCLK,0.000,
20685000,SWCLK,3.300,
20690000,SWCLK,0.000,
20695000,SWCLK,3.300,
20700000,SWCLK,0.000,
20705000,SWCLK,3.300,
20710000,SWCLK,0.000,
20715000,SWCLK,3.300,
20720000,SWCLK,0.000,
20725000,SWCLK,3.300,
20730000,SWCLK,0.000,
20735000,SWCLK,3.300,
20740000,SWCLK,0.000,
20745000,SWCLK,3.300,
20750000,SWCLK,0.000,
20755000,SWCLK,3.300,
20760000,SWCLK,0.000,
20765000,SWCLK,3.300,
20770000,SWCLK,0.000,
20775000,SWCLK,3.300,
20780000,SWCLK,0.000,
20785000,SWCLK,3.300,
20790000,SWCLK,0.000,
20795000,SWCLK,3.300,
20800000,SWCLK,0.000,
20800000,SWDIO,0.000,
20805000,SWCLK,3.300,
20805000,SWDIO_SAMPLE_T,3.420,1.000
20810000,SWCLK,0.000,
20810000,SWDIO,3.300,
20815000,SWCLK,3.300,
20815000,STEP_PHASE_CollectSeq,3.550,1.000
20815000,SWDIO_SAMPLE_T,3.420,2.000
20820000,SWCLK,0.000,
20825000,SWCLK,3.300,
20825000,SWDIO_SAMPLE_T,3.420,3.000
20830000,SWCLK,0.000,
20835000,SWCLK,3.300,
20835000,SWDIO_SAMPLE_T,3.420,4.000
20840000,SWCLK,0.000,
20845000,SWCLK,3.300,
20845000,SWDIO_SAMPLE_T,3.420,5.000
20850000,SWCLK,0.000,
20850000,SWDIO,0.000,
