time_since_start_of_packet_ms gap_ms max_gap_ms byte
0.000 0.000 0.000 FF
0.383 0.383 0.383 1B
0.456 0.073 0.383 08
0.495 0.039 0.383 FE
0.531 0.036 0.383 E3
0.566 0.035 0.383 AD
0.599 0.033 0.383 FE
0.632 0.033 0.383 89
0.664 0.032 0.383 12
0.695 0.031 0.383 B2
0.796 0.101 0.383 29
1.066 0.270 0.383 E4
1.110 0.044 0.383 17
1.146 0.036 0.383 4D
1.180 0.034 0.383 31
1.212 0.032 0.383 37
1.245 0.032 0.383 20
1.278 0.033 0.383 20
1.309 0.032 0.383 20
3.855 2.546 2.546 20
3.908 0.053 2.546 20
3.941 0.033 2.546 03
3.974 0.033 2.546 05
4.006 0.032 2.546 F8
4.040 0.034 2.546 22
4.074 0.034 2.546 00
4.107 0.034 2.546 00
4.141 0.034 2.546 41
4.173 0.032 2.546 98
4.656 0.484 2.546 00
4.674 0.018 2.546 08
4.691 0.017 2.546 91
4.709 0.017 2.546 98
4.723 0.014 2.546 00
4.737 0.014 2.546 08
4.752 0.014 2.546 91
4.767 0.015 2.546 98
6.634 1.867 2.546 00
6.657 0.024 2.546 08
6.673 0.016 2.546 00
6.699 0.027 2.546 00
6.715 0.015 2.546 00
6.730 0.015 2.546 00
6.744 0.014 2.546 00
6.758 0.014 2.546 00
6.773 0.015 2.546 00
6.788 0.015 2.546 00
7.523 0.735 2.546 00
7.552 0.030 2.546 00
7.569 0.016 2.546 00
7.584 0.015 2.546 00
7.599 0.015 2.546 00
7.620 0.020 2.546 00
7.634 0.015 2.546 00
7.649 0.015 2.546 00
8.572 0.923 2.546 00
8.592 0.020 2.546 00
8.609 0.017 2.546 00
8.625 0.016 2.546 00
8.640 0.015 2.546 00
8.654 0.014 2.546 00
8.669 0.015 2.546 00
8.684 0.015 2.546 00
8.698 0.014 2.546 00
8.834 0.136 2.546 00
8.850 0.016 2.546 00
8.865 0.015 2.546 00
8.879 0.014 2.546 91
8.895 0.015 2.546 98
8.910 0.015 2.546 00
8.924 0.015 2.546 08
8.939 0.014 2.546 00
8.953 0.015 2.546 20
8.968 0.015 2.546 00
9.194 0.226 2.546 20
9.211 0.016 2.546 00
9.232 0.021 2.546 00
9.246 0.015 2.546 00
9.261 0.014 2.546 00
9.275 0.014 2.546 91
9.289 0.014 2.546 98
9.304 0.015 2.546 00
9.318 0.014 2.546 08
9.332 0.014 2.546 F5
9.347 0.015 2.546 36
9.362 0.015 2.546 00
9.376 0.014 2.546 08
9.390 0.014 2.546 91
9.404 0.014 2.546 98
9.419 0.015 2.546 00
9.433 0.014 2.546 08
9.447 0.014 2.546 00
10.246 0.799 2.546 00
10.267 0.021 2.546 00
10.285 0.018 2.546 00
10.300 0.016 2.546 91
10.316 0.016 2.546 98
10.331 0.015 2.546 00
10.346 0.015 2.546 08
10.361 0.014 2.546 91
10.375 0.015 2.546 98
10.390 0.015 2.546 00
10.405 0.015 2.546 08
10.419 0.014 2.546 91
10.434 0.014 2.546 98
10.449 0.015 2.546 00
10.463 0.015 2.546 08
10.478 0.014 2.546 91
10.528 0.050 2.546 98
10.544 0.016 2.546 00
11.207 0.663 2.546 08
11.225 0.018 2.546 91
11.240 0.015 2.546 98
11.256 0.015 2.546 00
11.270 0.015 2.546 08
11.285 0.014 2.546 5D
11.299 0.014 2.546 32
11.314 0.015 2.546 00
11.328 0.014 2.546 08
11.342 0.014 2.546 00
11.357 0.015 2.546 00
11.373 0.016 2.546 00
11.387 0.014 2.546 00
11.401 0.014 2.546 91
11.420 0.019 2.546 98
11.435 0.016 2.546 00
11.450 0.014 2.546 08
11.464 0.014 2.546 91
11.481 0.017 2.546 98
11.686 0.204 2.546 00
11.702 0.016 2.546 08
11.717 0.015 2.546 91
11.731 0.014 2.546 98
11.746 0.014 2.546 00
11.760 0.014 2.546 08
11.775 0.015 2.546 29
11.789 0.015 2.546 30
11.803 0.014 2.546 00
11.818 0.014 2.546 08
11.832 0.015 2.546 91
11.846 0.014 2.546 98
11.861 0.014 2.546 00
11.875 0.014 2.546 08
11.889 0.014 2.546 91
11.904 0.014 2.546 98
11.919 0.015 2.546 00
11.933 0.014 2.546 08
12.463 0.530 2.546 00
12.483 0.021 2.546 00
12.822 0.338 2.546 00
12.840 0.018 2.546 00
12.858 0.018 2.546 91
